Chinese,English,Frequency Count,Indonesia
巴西,Brazil,1231,Brazil
签字,signature,1231,tanda tangan
明智,wise,1231,bijak
海上,maritime,1231,maritim
哎哟,Ouch,1231,Aduh
早已,For a long time,1230,Untuk waktu yang lama
质疑,question,1230,pertanyaan
官方,official,1230,resmi
评论,Comment,1229,Komentar
感,feel,1229,merasa
症状,symptom,1229,gejala
减少,reduce,1229,mengurangi
直播,live streaming,1228,siaran langsung
军,military,1228,militer
杯酒,Cup of wine,1227,Secangkir anggur
响,ring,1227,cincin
沟通,communicate,1226,menyampaikan
昏迷,coma,1226,koma
你老,You are old,1225,Kamu sudah tua
受害人,Victim,1225,Korban
电台,Radio station,1224,Stasiun radio
韦恩,Wayne,1224,Wayne
动力,power,1224,kekuatan
购买,Buy,1224,Membeli
付出代价,Pay,1223,Membayar
那一刻,that moment,1223,saat itu
防止,prevent,1223,mencegah
嘴唇,Lips,1222,Bibir
双胞胎,twin,1222,kembar
课程,course,1221,kursus
狗狗,Dog,1221,Anjing
种族,Race,1220,Balapan
解释一下,explain,1220,menjelaskan
连续,continuous,1220,kontinu
清白,clean,1219,membersihkan
招待,entertain,1219,menghibur
列车,train,1219,kereta
全面,comprehensive,1219,luas
瘦,thin,1219,tipis
淹死,Drown,1219,Menenggelamkan
捅,Stab,1219,Menusuk
条子,Strip,1219,Mengupas
占领,occupied,1218,sibuk
大使,ambassador,1218,duta besar
抹,wipe,1218,menghapus
戰爭,war,1217,perang
帮个,Help,1217,Membantu
蜡烛,Candle,1217,Lilin
精神病,Mental illness,1217,Penyakit mental
帐篷,tent,1217,tenda
首席,chief,1217,ketua
郡,county,1216,daerah
兰,orchid,1216,anggrek
宠物,pet,1215,peliharaan
按钮,Button,1215,Tombol
财富,wealth,1215,kekayaan
多长时间,for how long,1215,untuk berapa lama
扎,tie,1215,mengikat
无人,unmanned,1215,tak berawak
高潮,climax,1214,klimaks
棺材,coffin,1214,peti mati
留意,pay attention to,1214,memperhatikan
出路,Go out,1214,Keluar
租,rent,1214,menyewa
玉米,corn,1214,jagung
发布,release,1214,melepaskan
上天,Heaven,1213,Surga
安心,Be at ease,1213,Tenanglah
工程师,engineer,1213,insinyur
西班牙语,Spanish,1211,Spanyol
作业,Operation,1211,Operasi
黄色,yellow,1211,kuning
经纪人,broker,1211,makelar
罪恶,sin,1210,dosa
人口,population,1210,populasi
野蛮,brutal,1210,brutal
灯光,light,1210,lampu
地说,Terminate,1209,Mengakhiri
专心,concentrate,1209,konsentrat
过世,Die,1208,Mati
保险箱,safe,1208,aman
目前为止,So far,1208,Sejauh ini
ß,bleak,1208,suram
先进,advanced,1208,canggih
见证,witness,1208,saksi
组合,combination,1208,kombinasi
当做,Be,1208,Menjadi
能夠,were able,1208,mampu
弄清楚,figure out,1207,mencari tahu
蟼,Bleak,1207,Suram
佛,Buddha,1207,Budha
人手,manpower,1206,tenaga kerja
合约,contract,1205,kontrak
严格,strict,1205,ketat
賸,Leftover,1205,Sisa
杜,Daemon,1204,Setan
甚麼,What,1204,Apa
金属,Metal,1204,Logam
過,Pass,1203,Lulus
总得,Total,1203,Total
障碍,obstacle,1203,rintangan
え,Bleak,1202,Suram
打工,work to earn a living,1202,bekerja untuk mencari nafkah
眼泪,Tears,1202,Air mata
人士,person,1202,orang
大胆,Bold,1201,Berani
销售,Sale,1201,Penjualan
脱离,Separate,1201,Memisahkan
羊,sheep,1200,domba
一模一样,Exactly the same,1200,Persis sama
他家,his home,1200,rumahnya
温度,temperature,1200,suhu
天下,World,1200,Dunia
出售,sell,1199,menjual
走过,Pass through,1199,Melewati
外婆,grandmother,1199,nenek
帮帮,Gang,1199,Gang
强尼,Qiangni,1198,Qiangni
星期天,Sunday,1198,Minggu
卡住,stuck,1198,terjebak
独特,unique,1198,unik
涉及,Involve,1198,Melibatkan
心脏病,heart disease,1198,penyakit jantung
一行,One -line,1197,Satu baris
工作室,studio,1197,studio
别吵,Don't make noise,1197,Jangan membuat kebisingan
影像,image,1197,gambar
剧院,theater,1196,teater
补偿,compensate,1196,mengimbangi
金发,blond,1195,berambut pirang
字母,letter,1195,surat
着火,on fire,1195,terbakar
开启,Open,1195,Membuka
基础,Base,1194,Basis
我查,I check,1194,aku cek
试验,test,1194,tes
亲人,Relative,1194,Relatif
来电,Call,1193,Panggilan
挣扎,struggle,1193,berjuang
一无所知,Know nothing about,1193,Tidak tahu apa-apa tentang
细胞,cell,1193,sel
二十,twenty,1192,dua puluh
服从,obey,1192,mematuhi
维多利亚,Victoria,1191,Victoria
进一步,further,1191,lebih jauh
来临,advent,1191,kedatangan
边境,border,1191,berbatasan
检测,Test,1190,Tes
ﺫ,Bleak,1189,Suram
太小,Too small,1189,Terlalu kecil
排,Row,1189,Baris
德州,Texas,1189,Texas
抗议,protest,1189,protes
运动员,athlete,1188,atlet
漫长,Long,1187,Panjang
双方,both sides,1187,kedua sisi
進,Enter,1187,Memasuki
ﺩ,Bleak,1187,Suram
名义,name,1187,nama
娱乐,entertainment,1186,hiburan
乡村,rural,1186,pedesaan
厲害,sharp,1185,tajam
面试,interview,1184,wawancara
看电视,watch TV,1184,menonton TV
到此为止,End,1184,Akhir
需求,need,1184,membutuhkan
居住,live,1183,hidup
不見,not see,1183,tidak melihat
摩托车,motorcycle,1183,sepeda motor
分别,respectively,1183,masing-masing
预测,predict,1183,meramalkan
便是,That,1182,Itu
沙滩,Beach,1182,Pantai
商人,merchant,1182,pedagang
图片,picture,1182,gambar
典型,typical,1181,khas
那辆,That car,1181,Mobil itu
确切,exact,1181,akurat
小岛,Island,1180,Pulau
拼,spell,1179,mengeja
瓶子,bottle,1178,botol
得出,inferred,1178,menyimpulkan
欢乐,joy,1178,sukacita
别看,Don't look at,1178,Jangan melihat
那才,That talent,1177,Bakat itu
宣传,publicity,1177,publisitas
等会儿,Wait a minute,1177,Tunggu sebentar
眖,Bleak,1176,Suram
凯瑟琳,Catherine,1176,Catherine
两名,Two,1175,Dua
亮,Bright,1175,Terang
封,seal up,1175,menyegel
感谢您,Thanks you,1174,Terima kasih
频道,Channel,1173,Saluran
前途,future,1173,masa depan
逮到,Arrest,1173,Menangkap
结合,Combine,1173,Menggabungkan
偶像,Idol,1173,Idola
暂停,pause,1173,berhenti sebentar
尽情,Fulfill,1173,Memenuhi
请别,Please do not,1173,tolong jangan
这时候,At this moment,1172,Pada saat ini
苏,Sovereign,1172,Berdaulat
呵,Ah,1172,Ah
羞辱,humiliation,1172,penghinaan
瓦,watt,1172,watt
吃点,Eat,1171,Makan
亚历克斯,Alex,1171,Alex
准时,on time,1171,tepat waktu
旁,beside,1170,di samping
一大堆,A lot,1170,Banyak
火焰,flame,1169,api
谈到,Talk about,1168,Berbicara tentang
代理,acting,1168,akting
姿势,posture,1168,sikap
这群,This group,1168,Kelompok ini
屠杀,massacre,1167,pembantaian
千,thousand,1167,ribu
流氓,rogue,1167,penipu
人類,Humanity,1167,Kemanusiaan
雷蒙德,Raymond,1167,Raymond
絕對,absolute,1167,mutlak
怪胎,Fetus,1166,Janin
引爆,Detonate,1166,Meledakkan
农民,Farmer,1166,Petani
困惑,Puzzled,1166,Bingung
其余,the remaining,1165,yang tersisa
买下,Buy,1165,Membeli
外表,Exterior,1165,Luar
嗑,Spicit,1165,pedas
花钱,Spend money,1165,Menghabiskan uang
丢掉,Throw away,1165,Membuang
θ,θ,1165,θ
首次,first,1165,Pertama
不远,Not far away,1165,Tidak jauh dari sini
躲起来,Hide,1165,Bersembunyi
安全带,seat belt,1164,sabuk pengaman
处境,Situation,1164,Situasi
故障,Fault,1164,Kesalahan
烫,hot,1164,panas
收下,Take off,1163,Lepas landas
舅舅,uncle,1163,paman
星期一,Monday,1162,Senin
你會,You can,1162,Kamu bisa
混球,jerk,1162,berengsek
停手,stop,1162,berhenti
瑞斯,Ryz,1162,Ryz
传奇,legend,1162,legenda
登,Obey,1161,Mematuhi
骚扰,Harass,1160,Mengganggu
伸出,Extend,1160,Memperpanjang
做成,Make,1160,Membuat
见识,experience,1160,pengalaman
通往,Lead,1160,Memimpin
贝拉,Bella,1160,Bella
严禁,Prohibit,1159,Melarang
每人,Per person,1159,Per orang
犯下,Commit,1158,Melakukan
在我看来,in my opinion,1158,menurut pendapat saya
黃,yellow,1158,kuning
发作,attack,1158,menyerang
饶,Spoof,1158,Menipu
見過,Met,1158,Bertemu
迎接,meet,1158,bertemu
小鸟,Bird,1158,Burung
代码,Code,1158,Kode
目的地,destination,1157,tujuan
资源,resource,1157,sumber
召唤,call,1157,panggilan
样本,sample,1156,mencicipi
判决,judgment,1156,keputusan
沙拉,salad,1156,salad
功能,Function,1156,Fungsi
诱惑,lure,1156,memancing
忍不住,Unable to bear,1156,Tidak mampu menanggung
脑子里,In the mind,1156,Di dalam pikiran
í,í,1155,Saya
商业用途,business use,1155,penggunaan bisnis
怪人,wack,1155,wack
流,flow,1154,mengalir
瓶,bottle,1154,botol
几句,A few words,1154,Beberapa kata
玩吧,Play,1154,Bermain
无能为力,Powerless,1154,Tak berdaya
清,clear,1154,jernih
斗争,struggle,1154,berjuang
事先,in advance,1154,di muka
着想,Think,1154,Memikirkan
乱来,Recklessly,1153,Secara serampangan
久等,Wait for a long time,1152,Menunggu untuk waktu yang lama
办不到,Not be able to do,1152,Tidak bisa melakukan
弥补,make up,1152,menyusun
調查,investigation,1152,penyelidikan
之上,Above,1152,Di atas
萨,Salad,1151,Salad
這位,this,1151,ini
乃,So,1151,Jadi
隔,Separate,1151,Memisahkan
鲸鱼,whale,1151,paus
这方面,Aspect,1151,Aspek
没收,Confuse,1151,Bingung
饼,cake,1150,kue
指导,guide,1150,memandu
苦,bitter,1150,pahit
那样的话,if that is the case,1149,jika memang begitu
那人,That person,1149,Orang itu
脏,dirty,1149,kotor
听话,obedient,1148,patuh
街区,Neighborhood,1148,Lingkungan
媽,mom,1148,Mama
大象,elephant,1147,gajah
停留,Stay,1147,Tinggal
利亚,Liya,1147,Liya
罚款,fine,1147,Bagus
家长,Parent,1146,Induk
双,pair,1146,pasangan
號,Number,1146,Nomor
還沒,not yet,1145,Belum
追查,Investigate,1145,Menyelidiki
观看,Watch,1145,Jam tangan
出局,Export,1145,Ekspor
撤离,Evacuate,1145,Evakuasi
蠅,fly,1145,terbang
摄影机,camera,1145,kamera
試試,Try,1145,Mencoba
蠀,Bleak,1144,Suram
口音,accent,1143,aksen
第一季,Season one,1143,Musim pertama
住口,shut up,1143,diam
這里,here,1142,Di Sini
全家,Family,1142,Keluarga
半夜,midnight,1142,tengah malam
难得,rare,1141,langka
献给,Dedicate to,1141,Didedikasikan untuk
取决于,depending on,1141,tergantung pada
一命,Life,1141,Kehidupan
理查,Score,1140,Skor
击败,beat,1140,mengalahkan
可卡因,cocaine,1140,kokain
海里,Sea,1140,Laut
领先,Lead,1139,Memimpin
叫醒,wake,1138,bangun
邦德,Bangde,1138,Bangde
之間,between,1138,di antara
何必,Why,1137,Mengapa
哈啰,Hello,1136,Halo
办事,work,1136,bekerja
傷害,harm,1135,menyakiti
寻常,Unusual,1135,Tidak biasa
机械,mechanical,1135,mekanis
夏威夷,Hawaii,1135,Hawai
敲门,Knock on the door,1134,Ketuk pintu
接收,take over,1134,mengambil alih
省,Province,1134,Propinsi
别提,Not mention,1134,Tidak disebutkan
电池,Battery,1133,Baterai
录音,recording,1133,rekaman
帕,Pa,1133,Pa
夥計,Gang,1133,Gang
就够,Enough,1132,Cukup
恶梦,nightmare,1132,mimpi buruk
住在一起,living together,1132,hidup bersama
大地,Land,1132,Tanah
宴会,banquet,1132,perjamuan
大多,most,1132,paling
仿宋,Imitate the Song,1132,Tirulah Lagunya
货车,truck,1131,truk
别怕,Don't be afraid,1131,Jangan takut
引发,Cause,1131,Menyebabkan
修复,repair,1130,memperbaiki
作者,author,1130,pengarang
虫,insect,1130,serangga
提要,Summary,1130,Ringkasan
十字架,cross,1130,menyeberang
难看,Ugly,1130,Jelek
福尔摩斯,Holmes,1129,Holmes
头部,head,1129,kepala
劳拉,Laura,1129,Laura
眼里,In the eyes,1129,Di mata
象征,Symbol,1129,Simbol
牠,it,1129,dia
俄国人,Russian,1128,Rusia
谨慎,cautious,1128,waspada
珍惜,cherish,1127,menghargai
勇士,warrior,1127,prajurit
睡覺,sleep,1127,tidur
蜂蜜,Honey,1127,Sayang
删除,delete,1126,menghapus
抛,throw,1125,melemparkan
发型,hairstyle,1125,gaya rambut
周日,Sunday,1124,Minggu
辆,Vehicle,1124,Kendaraan
婆婆,Mother -in -law,1124,Ibu mertua
氧气,oxygen,1124,oksigen
南部,Southern part,1123,Bagian selatan
吃药,Take medicine,1123,Meminum obat
轮,wheel,1123,roda
项链,necklace,1123,kalung
聯,Linked,1123,Terkait
弄错,mistake,1122,kesalahan
初,early,1122,lebih awal
消除,eliminate,1121,menghapuskan
放屁,fart,1120,kentut
概念,concept,1120,konsep
交通,transportation,1120,angkutan
瑞士,Switzerland,1120,Swiss
三個,Three,1120,Tiga
汽油,gasoline,1120,bensin
诊所,Clinic,1120,Klinik
土豆,Potato,1120,Kentang
祖先,ancestor,1119,leluhur
童年,childhood,1119,masa kecil
无数,countless,1118,tak terhitung
双眼,Eyes,1118,Mata
下载,download,1118,unduh
歌唱,singing,1118,nyanyian
確實,really,1117,Sungguh
东,East,1117,Timur
一点儿,a little,1117,sedikit
越过,Cross,1117,Menyeberang
力气,strength,1117,kekuatan
声称,claim,1117,mengeklaim
隨便,casual,1116,kasual
马车,carriage,1116,pengangkutan
瑞德,Ruide,1116,kasar
这回,this time,1115,kali ini
搞不懂,Not understand,1115,Tidak mengerti
房租,rent,1115,menyewa
有点像,A bit like,1115,Sedikit seperti
通,Pass,1115,Lulus
这套,This set,1114,Set ini
波兰,Poland,1114,Polandia
仅此而已,That's it,1114,Itu saja
ω,ω,1113,ω
家园,home,1111,rumah
作為,Be,1111,Menjadi
暗杀,Assassinate,1110,Membunuh
纪录,Record,1110,Catatan
试过,Trial,1110,Uji coba
降临,Come,1110,Datang
人渣,Scum,1109,Sampah
主持,Host,1109,Tuan rumah
ˋ,Bleak,1109,Suram
人数,Number of people,1109,Jumlah orang
ﺠ,Bleak,1109,Suram
阴影,shadow,1109,bayangan
防御,defense,1108,pertahanan
タ,Bleak,1108,Suram
滚蛋,Get out,1107,Keluar
巴克,Barc,1106,Barc
一下子,all of a sudden,1106,tiba-tiba
死人,dead,1106,mati
贵族,noble,1106,bangsawan
接下,Follow up,1106,Menindaklanjuti
枪杀,Shot,1106,Tembakan
仇恨,Hate,1106,Membenci
评估,Evaluate,1105,Mengevaluasi
離,Leave,1105,Meninggalkan
迪恩,Dien,1104,Dien
沙,sand,1104,pasir
掌声,applause,1104,tepuk tangan
英寸,inch,1104,inci
索,Claim,1103,Mengeklaim
共,common,1103,umum
繷,Bleak,1102,Suram
今后,from now on,1102,mulai sekarang
绕,Go around,1102,Pergi berkeliling
深入,Deepen,1102,Memperdalam
抬,lift,1102,mengangkat
咧,Pilk,1102,Pilk
得分,Score,1102,Skor
之地,place,1101,tempat
没说,Not to say,1101,Tidak untuk mengatakan
身份证,ID card,1101,Kartu identitas
布拉德,Brad,1101,Brad
快樂,hapiness,1100,kebahagiaan
騙,cheat,1099,mencurangi
签署,sign,1098,tanda
珍,Cherished,1098,Dihargai
登上,Ascend,1098,Naik
無論,regardless,1098,tanpa memedulikan
睡眠,Sleep,1098,Tidur
ﺓ,Bleak,1097,Suram
服用,Take,1096,Mengambil
還能,Still,1096,Tetap
很多年,many years,1096,bertahun-tahun
听不见,can not hear,1096,tidak bisa mendengar
法国人,French,1096,Perancis
甜,sweet,1096,manis
这算,This,1095,Ini
例子,example,1095,contoh
吼,Roar,1094,Mengaum
往前,Forward,1094,Maju
清洁,clean,1094,membersihkan
胆小鬼,coward,1094,pengecut
亚洲,Asia,1093,Asia
夏,summer,1093,musim panas
许可,license,1093,lisensi
警员,Police officer,1092,Petugas polisi
继续前进,keep going,1092,terus berlanjut
周一,on Monday,1092,pada hari senin
告别,bid farewell,1092,mengucapkan selamat tinggal
长期,long,1092,panjang
盡,Fully,1092,Sepenuhnya
福特,Ford,1092,Mengarungi
秩序,order,1092,memesan
奖励,award,1091,menghadiahkan
香肠,sausage,1091,sosis
屋子里,In the house,1091,Di dalam rumah
插手,Intervene,1091,Campur tangan
我读,I read,1091,saya membaca
诗人,poet,1091,penyair
死神,grim Reaper,1091,malaikat maut
两只,Two,1090,Dua
原创,Original,1090,Asli
效劳,Serve,1089,Melayani
小人,Villain,1089,Penjahat
滋味,taste,1089,mencicipi
恐慌,panic,1089,panik
北京,Beijing,1088,Kota Beijing
创作,creation,1088,penciptaan
披萨,Pizza,1087,Pizza
め,Bleak,1086,Suram
那场,That game,1086,Permainan itu
畜生,brute,1086,kasar
禗,Bleak,1085,Suram
结论,in conclusion,1085,sebagai kesimpulan
打招呼,greet,1085,menyapa
说来,Say,1085,Mengatakan
可否,Can,1085,Bisa
珍贵,precious,1084,berharga
第四,fourth,1084,keempat
防守,Defend,1084,Membela
阅读,read,1084,membaca
摄影师,Photographer,1083,Fotografer
瓣,valve,1083,katup
陌生,strangeness,1083,keanehan
会想,Think,1082,Memikirkan
量,quantity,1082,kuantitas
车辆,vehicle,1081,kendaraan
就位,In place,1081,Di tempat
變得,Become,1081,Menjadi
稰,Bleak,1081,Suram
翻譯,translate,1081,menerjemahkan
伊莎贝尔,Isabel,1081,Isabel
带子,tape,1081,tape
分离,Separate,1081,Memisahkan
交代,Explain,1081,Menjelaskan
院子,courtyard,1081,halaman
約翰,John,1080,Yohanes
進入,Enter,1080,Memasuki
远远,Far away,1079,Jauh sekali
埋葬,bury,1079,mengubur
民众,people,1078,rakyat
虐待,Abuse,1078,Melecehkan
腳,foot,1078,kaki
岿,Bleak,1077,Suram
帮不了,Unable to help,1076,Tidak dapat membantu
迈阿密,Miami,1076,Miami
舧,Bleak,1075,Suram
赶来,Rush,1075,Bergegas
勉强,reluctantly,1075,dengan enggan
预言,prophecy,1074,nubuat
举办,hold,1074,memegang
复制,copy,1074,menyalin
原始,original,1074,asli
评价,evaluate,1074,mengevaluasi
吸烟,Smoke,1074,Merokok
奖金,bonus,1073,bonus
地毯,carpet,1073,karpet
私下,in private,1073,secara pribadi
墓地,cemetery,1072,pemakaman
哈特,Harut,1072,Harut
热爱,Love,1072,Cinta
一百万,one million,1072,satu juta
苏菲,Sophie,1071,Sophie
巡逻,patrol,1071,patroli
收获,reward,1071,hadiah
毫米,Millimeter,1071,Milimeter
协会,association,1071,asosiasi
法兰,Flang,1071,Flang
过度,over,1070,lebih
超市,supermarket,1069,supermarket
朝鲜,North Korea,1069,Korea Utara
问好,say hello,1069,menyapa
行動,action,1069,tindakan
负担,burden,1069,beban
村,village,1068,desa
玛丽亚,Maria,1067,Maria
指出,Point out,1067,Tunjukkan
战胜,Defeat,1067,Mengalahkan
当事人,party,1067,berpesta
模型,Model,1067,Model
套,set,1067,mengatur
无比,Extremely,1067,Sangat
琳娜,Lena,1067,Lena
义务,obligation,1067,kewajiban
普,general,1067,umum
定位,position,1066,posisi
湿,wet,1066,basah
汀,Achieve,1066,Meraih
卢,Lu,1066,Lu
不足,insufficient,1065,tidak memadai
授权,Authorize,1065,Mengizinkan
登陆,Log in,1065,Masuk
主角,main character,1065,karakter utama
节,Festival,1065,Festival
接管,take over,1065,mengambil alih
应得,deserve,1065,layak
自已,Self,1065,Diri sendiri
证件,Document,1065,Dokumen
八个,Eight,1065,Delapan
武装,Armed,1064,Bersenjata
保管,custody,1064,hak asuh
太过分,Too much,1064,Terlalu banyak
掉下来,drop down,1063,turun ke bawah
各自,respective,1063,masing-masing
回头见,Look back,1063,Melihat kembali
重建,reconstruction,1062,rekonstruksi
疭,Bleak,1062,Suram
版本,Version,1062,Versi
打包,Pack,1062,Mengemas
二号,No. 2,1061,Nomor 2
奔,Run,1061,Berlari
幽默,humor,1060,humor
旅游,travel,1060,bepergian
休假,take a vacation,1060,mengambil liburan
候选人,candidate,1059,calon
换衣服,Change clothes,1059,Ganti pakaian
拉里,Larry,1059,Larry
中有,In the middle,1059,Di tengah
不通,Unprepared,1059,Tidak siap
香蕉,banana,1058,pisang
埃里克,Eric,1058,Eric
矛盾,contradiction,1058,kontradiksi
血腥,bloody,1058,berdarah
约瑟夫,Joseph,1057,Yusuf
东尼,Anthony,1057,Antonius
看待,Treat,1056,Merawat
威利,Wig,1056,Teguran
相比,compared to,1056,dibandingkan dengan
伴侣,companion,1056,pendamping
治愈,cure,1056,menyembuhkan
杰米,Jami,1056,Jami
举起,lift,1055,mengangkat
蹲,squat,1055,berjongkok
蝙蝠,bat,1055,kelelawar
闯入,Break in,1054,Masuk
清晰,Clear,1054,Jernih
少来,Stop it,1054,Hentikan itu
刮,shave,1054,mencukur
眼中,In the eyes,1054,Di mata
阿富汗,Afghanistan,1054,Afganistan
村庄,village,1054,desa
原諒,forgive,1054,memaafkan
跟随,follow,1053,mengikuti
瑞秋,Ruiqiu,1053,Ruiqiu
誓言,oath,1053,sumpah
违法,Illegal law,1053,Hukum ilegal
快死了,about to die,1053,hampir mati
操纵,manipulate,1053,memanipulasi
兩,two,1053,dua
礚,Bleak,1053,Suram
搜寻,search,1052,mencari
大厦,building,1052,bangunan
旋转,Rotate,1051,Memutar
赌博,gamble,1051,berjudi
覆盖,cover,1051,menutupi
只管,Just,1050,Hanya
硬币,coin,1050,koin
潜艇,submarine,1049,kapal selam
弱点,weakness,1049,kelemahan
香水,perfume,1049,parfum
本能,instinct,1049,naluri
教皇,pope,1048,paus
晕,faint,1048,pingsan
盘子,plate,1048,piring
最快,Fastest,1047,Tercepat
百万,million,1047,juta
青春,youth,1047,anak muda
恐龙,Dinosaur,1047,Dinosaur
购物,Shopping,1047,Belanja
口味,taste,1046,mencicipi
不赖,not bad,1046,tidak buruk
询问,ask,1046,bertanya
那要,That for,1045,Itu untuk
面子,face,1045,menghadapi
别急,Don't worry,1045,Jangan khawatir
幹嘛,what,1045,Apa
身邊,Beside,1045,Di samping
鲜血,Blood,1044,Darah
娩,delivery,1043,pengiriman
漫画,comics,1043,komik
受过,Suffer,1042,Menderita
呜,Fooled,1042,Tertipu
那份,That copy,1042,Salinan itu
自身,itself,1041,diri
之夜,night of,1040,malam
策划,plan,1040,rencana
诉讼,litigation,1040,proses pengadilan
冲突,conflict,1040,konflik
渐渐,gradually,1039,perlahan-lahan
巫师,wizard,1039,penyihir
个性,personality,1039,kepribadian
房里,Room,1039,Ruang
貌似,seemingly,1038,tampaknya
穿衣服,wear clothes,1038,memakai pakaian
免得,lest,1038,jangan sampai
要命,Be terrible,1038,Jadilah mengerikan
一千,one thousand,1038,seribu
里克,Rick,1038,Rick
飛機,airplane,1038,pesawat terbang
酒精,Alcohol,1038,Alkohol
审讯,trial,1037,uji coba
凯撒,Caesar,1037,Kaisar
闪,flash,1037,kilatan
莱,Liberal,1037,Liberal
侄子,nephew,1037,keponakan laki-laki
猜测,guess,1037,tebakan
尊严,dignity,1036,harga diri
袜子,sock,1036,kaus kaki
隔离,isolation,1036,isolasi
下流,Downside,1036,Sisi negatifnya
基督教,Christianity,1036,Kekristenan
修改,Revise,1035,Merevisi
基于,based on,1035,berdasarkan
每当,whenever,1035,kapan pun
印第安人,Indian,1035,India
目击,Witness,1035,Saksi
未婚夫,fiancé,1035,tunangan
一同,together,1034,bersama
指引,Guidance,1033,Panduan
六年,Six years,1033,Enam tahun
入,enter,1033,memasuki
恒星,star,1033,bintang
取代,replace,1033,mengganti
狂,mad,1033,gila
专注,Focus on,1033,Fokus pada
取出,take out,1033,mengambil
怎么着,How to do,1033,Bagaimana caranya
电子,electronic,1033,elektronik
伊恩,Ian,1032,Ian
回归,return,1032,kembali
供,for,1032,untuk
右手,Right hand,1031,Tangan kanan
透过,Through,1031,Melalui
吾,I,1031,SAYA
说错,Say wrong,1031,Katakan salah
牙,tooth,1031,gigi
檢查,examine,1031,meneliti
汇报,report,1030,laporan
台词,Line,1030,Garis
水手,sailor,1029,pelaut
牛肉,beef,1029,daging sapi
亂,chaos,1029,kekacauan
克服,overcome,1029,mengatasi
了结,Concluded,1028,Selesai
帮帮忙,Help,1028,Membantu
慷慨,generous,1028,dermawan
一辆车,a car,1027,sebuah mobil
良心,conscience,1027,hati nurani
灵感,inspiration,1027,inspirasi
打開,Open,1027,Membuka
一分,one cent,1027,satu sen
元首,Head,1026,Kepala
买点,Buy,1025,Membeli
娅,Darling,1025,Sayang
原,Original,1025,Asli
夹,folder,1025,map
胃,Stomach,1025,Perut
马克斯,Max,1025,Maksimal
从事,Engage in,1025,Terlibat dalam
排除,exclude,1024,mengecualikan
召集,convene,1024,bersidang
模样,appearance,1024,penampilan
外国,Foreign,1023,Luar negeri
阴茎,penis,1023,penis
酒鬼,drunkard,1023,pemabuk
操心,worry,1023,khawatir
指着,Point out,1022,Tunjukkan
寒冷,cold,1022,dingin
汉克,Hanke,1022,Hanke
慢着,Slowly,1022,Perlahan-lahan
一身,One,1022,Satu
马特,Mart,1022,Pasar
旧金山,San Francisco,1021,San Fransisco
北部,North,1021,Utara
希腊,Greece,1021,Yunani
扫描,scanning,1021,pemindaian
一圈,One circle,1021,Satu lingkaran
看起,Look at,1021,Lihatlah
戴尔,Dell,1021,Dell
好友,Friend,1020,Teman
终结,End,1020,Akhir
老弟,Brother,1020,Saudara laki-laki
有点儿,kind of,1020,agak
犹豫,hesitate,1019,ragu-ragu
场面,scene,1019,pemandangan
伪装,camouflage,1019,kamuflase
心理医生,Psychologist,1019,Psikolog
不理,ignore,1019,mengabaikan
目標,Target,1019,Target
牢房,cell,1019,sel
丑,ugly,1018,jelek
实力,strength,1018,kekuatan
把戏,Drama,1018,Drama
纯粹,purely,1018,murni
報告,Report,1018,Laporan
朱莉,Jelly,1018,Jeli
侵犯,Infringement,1017,Pelanggaran
丸,pill,1017,pil
乡下,countryside,1017,pedesaan
例外,exception,1016,pengecualian
湖,lake,1016,danau
罗伊,Roy,1016,Roy
传播,spread,1016,menyebar
块钱,Dollars,1016,Dolar
赣,Gan,1015,Gan
餓,Hungry,1015,Lapar
戳,stamp,1015,perangko
指责,Blame,1015,Menyalahkan
各地,All over the country,1014,Di seluruh negeri
芭芭拉,Barbara,1014,Barbara
收音机,radio,1014,radio
领带,tie,1013,mengikat
核心,core,1013,inti
途径,way,1013,jalan
命名,name,1013,nama
滾,roll,1013,gulungan
人要,Be,1013,Menjadi
类,kind,1013,baik
弹药,ammunition,1013,amunisi
团结,United,1013,Serikat
黑帮,Gangster,1012,Penjahat
忏悔,repent,1012,menyesali
晚会,Party,1012,Berpesta
眼光,vision,1012,penglihatan
前线,front,1012,depan
扁,flat,1012,datar
上船,Boarding,1012,Asrama
别去,do not go,1012,jangan pergi
有利,favorable,1012,baik
可乐,Cola,1012,Kola
改天,Remodel,1012,Merombak
惹麻烦,Trouble,1011,Masalah
正直,Upright,1011,Jujur
靴子,boots,1011,sepatu bot
龟,turtle,1011,penyu
电视台,Television station,1010,Stasiun televisi
看不出,Unrecognizable,1010,Tidak dapat dikenali
维护,maintain,1010,menjaga
边界,boundary,1010,batas
四周,Surround,1010,Mengelilingi
视线,Vision,1009,Penglihatan
一阵,For a while,1009,Sebentar
路过,Pass by,1009,Lewat
污染,pollute,1009,mengotori
明晚,Tomorrow night,1008,Besok malam
写作,writing,1008,menulis
中学,Middle school,1007,Sekolah menengah pertama
国内,domestic,1007,domestik
渡,Cross,1007,Menyeberang
电报,telegraph,1006,telegrap
哈哈哈,Hahaha,1006,Ha ha ha
不利,unfavorable,1005,tidak menguntungkan
未來,future,1005,masa depan
论文,paper,1005,kertas
风景,landscape,1005,lanskap
额外,additional,1004,tambahan
传送,Transmit,1004,Mengirimkan
两者,Two,1004,Dua
